',',,
-,-,,
!,!,,
！,pt,,
(,(,,
),),,
*,*,,
***,***,,
",",",",,
，,pt,,
、,pt,,
.,.,,
．,pt,,
。,pt,,
/,/,,
:,:,,
：,pt,,
；,pt,,
?,?,,
？,pt,,
[,[,,
\,\,,
],],,
^,^,,
_,_,,
`,`,,
|,|,,
~,~,,
《》,pt,,
《台日大辭典》,thgths,,
「」,pt,,
『』,pt,,
+,+,,
<,<,,
=,=,,
>,>,,
↑,pt,,
→,pt,,
↓,pt,,
─,pt,,
a,a,,
A,aa,,
Aａｂｃｄｅｆｇｈｉｊｋｍｎｏｐｑｒｓｔｕｖｗｘｙｚ,/S,,
an,an,,
an-giong,agiog,,
an-ngiong,angion,,
b,b,,
B,bb,,
begin,%chardef,,
begin,%keyname,,
c,c,,
C,cc,,
chang,chang,,
chang,zag,,
chang有,zagyu,,
chhang眼,caggia,,
chhang眼,caggie,,
chhang有,zangyu,,
chhii,chhii,,
chhii,cii,,
Chhin,ccin,,
chhin,cin,,
chhin多,cinto,,
chhin歡喜,cfh,,
chhok,cok,,
chhok到,cokto,,
chhok火,cokfo,,
chhok著,cokten,,
chim,chim,,
chim,zim,,
chim過,zimko,,
chim喙,zimzoi,,
cii到,ciito,,
cii掉,ciithe,,
cii狗,ciikie,,
cii過,ciiko,,
cii害,ciihoi,,
cii喊,ciihem,,
cii好,ciiho,,
cii橫,ciivag,,
cii淨,ciicia,,
cii來,ciiloi,,
cii牛,ciigiu,,
cii去,ciihi,,
cii人,ciigin,,
cii人罪,cgc,,
cii死,ciisi,,
cii贏,ciiyag,,
cin-ziag,cinzia,,
cin多,cinto,,
cip-cip,cipcip,,
cok,cok,,
cok到,cokto,,
cok火,cokfo,,
cok著,cokten,,
cu人窩,cgv,,
d,d,,
D,dd,,
e,e,,
E,ee,,
em,em,,
e-mail,email,,
em耳,emgi,,
em耳,emngi,,
em蓋,emkoi,,
em喙,emtsoi,,
em喙,emzoi,,
em面,emmien,,
em著,emten,,
en,en,,
end,%chardef,,
end,%keyname,,
en-teu,enteu,,
en-teu-ke,etk,,
en等,enteu,,
f,f,,
F,ff,,
fit,fit,,
fit出,fitcut,,
fit出,fittshut,,
fit到,fitto,,
fit掉,fitthe,,
fit給,fitpun,,
fit來,fitloi,,
fit落,fitlok,,
fit入,fitgip,,
fit入,fitngip,,
fit下,fitha,,
g,g,,
G,gg,,
ga呾,gata,,
gia,gia,,
giap,giap,,
giap目,giapmu,,
giong-pan,giogpa,,
h,h,,
H,hh,,
he,he,,
hen,hen,,
hen-hen,henhen,,
het,het,,
hia,hia,,
hiap下,hiapha,,
hip,hip,,
hip熱,hipgie,,
hip熱,hipngie,,
hip死,hipsi,,
hip著,hipten,,
hog床,hogcog,,
hog起,hoghi,,
hog起來,hhl,,
hog身,hogsii,,
Ho-lo話,hlf,,
Ho-lo人,hlg,,
hong,hog,,
hong,hong,,
hong起來,l,,
i,i,,
I,ii,,
j,j,,
J,jj,,
k,k,,
K,kk,,
kag倒,kagto,,
kam,kam,,
kang倒,kagto,,
kang倒,kangto,,
ke,ke,,
ke-teu,keteu,,
ke話,kefa,,
ke人,kegin,,
ke時,kesii,,
